,title,published_date,views,likes,dislikes,comments,month
203,Data Science: Startup vs. Large Corporation,2019-03-21,1691,65,0,6,Mar
204,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,4578,127,0,29,Mar
205,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3662,163,0,14,Mar
206,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,662,28,0,14,Mar
207,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1198,28,0,8,Mar
208,Where YOU Should Start With Data Science Projects,2019-02-19,7548,210,0,20,Feb
209,Watch This Before Applying to Data Science Jobs,2019-02-04,1258,55,0,13,Feb
210,My Top 5 Data Science Resources for 2019,2019-01-05,3400,113,0,20,Jan
211,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,717,35,0,6,Dec
212,The Best Way to Predict NBA Minutes Played,2018-12-11,3062,84,0,13,Dec
213,Demystifying Data Science Roles,2018-11-30,972,48,0,7,Nov
214,How to Simulate NBA Games in Python,2018-11-19,13640,307,0,48,Nov
215,Should You Get A Masters in Data Science?,2018-11-14,18370,274,0,137,Nov
216,How I Became A Data Scientist From a Business Background,2018-11-12,5482,167,0,24,Nov
217,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,6803,156,0,17,Jul
218,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,16500,249,0,41,Nov
